"","SRR11902288","SRR11902289","SRR11902290","SRR11902202","SRR11902204","SRR11902205"
"0610005C13Rik",0.781094392348424,0.459649807183322,1.02326078603315,0.89183644148588,0.681603871436033,0.680022663842151
"0610009B22Rik",16.0510621051337,15.8766160321012,15.1809895679189,15.9078781813084,16.3187436677801,15.1222494334799
"0610009E02Rik",1.10141961647262,1.42595765255504,1.53027686327305,1.17831906993455,1.54006402274588,1.27851182881754
"0610009L18Rik",1.54276646808852,1.51741215243409,2.62519729843859,2.54561785990663,2.29407496610279,1.96261199223036
"0610010K14Rik",2.80332611831027,5.20125843719131,5.23781604638222,2.7357898298691,2.87926410257084,3.37213230425886
"0610012G03Rik",21.2184747551503,20.8108244563246,25.4298465198512,23.6525841071359,20.8920727661416,21.2151170953627
"0610030E20Rik",26.5157521141735,39.931225726385,12.3890264783894,6.49259691897334,16.8139752524687,39.8701696833078
"0610038B21Rik",0.359271362199646,0.289092392036392,0.324870385027144,0.576049043948373,0.664917498128104,0.477253999276732
"0610039K10Rik",0.0424799142944605,0.0359083296356002,0,0.0613103010917163,0,0
"0610040B10Rik",1.96224887661029,1.59003555411626,1.92311281019557,3.89152317885145,2.67632431184687,4.3143100847079
"0610040F04Rik",1.72219094012599,0.927034445162588,1.24419688184662,2.1504731067433,1.85238476276569,2.15809674182093
"0610040J01Rik",3.63086058768651,3.54563331379303,2.59226279910684,3.53909004999152,2.90309376561324,3.64956968635391
"0610043K17Rik",0.673892169712046,0.766387492773163,0.718089400809063,0.496735926793153,0.48631911903834,0.448032769649958
"1010001B22Rik",0.154199004878778,0.131979317625611,0.216227014238143,0.222945694647422,0.198698115756548,0.17029067126794
"1110002E22Rik",6.9130032259626,6.47727504433287,6.56304605029406,5.31029958280409,5.85932842144241,6.4169837027457
"1110002J07Rik",1.19241990236138,0.919665114508435,0.944935362865948,0.807658498338719,1.01778862564845,1.05439593474668
"1110002L01Rik",6.23270705957903,6.50704551976366,6.75828865415932,7.47190414564207,6.5186318698643,6.11072582797514
"1110002O04Rik",0.118076675313318,0.106840342422523,0.276709093984932,0.349440913797543,0.335012025328317,0.459803260633671
"1110003F10Rik",0.0273365704427552,0.0217135709058376,0.0267925430723845,0.0171048418551577,0.0258465656007135,0.0388151616008319
"1110004F10Rik",84.0624075045803,89.1788444807056,86.4768367703233,94.9177439771587,96.7019290482918,100.022639085467
