"","SRR11902288","SRR11902289","SRR11902290","SRR11902202","SRR11902204","SRR11902205"
"Dnase1l2",32.30309236,28.5488868,36.23539372,95.70729548,16.40031892,18.00961646
"Dnase1l3",0,0,0,0,0,0
"Dnase2a",408.39269778,349.6577136,654.88424682,528.56622684,521.89716892,307.45581116
"Dnase2b",0,0,0,0,0,0
"Dnd1",51.4956003,82.46557968,86.34425936,69.09548646,71.9102782,49.22052738
"Dnd1-ps",0,0,0,0,0,0
"Dner",7669.40999152,9522.5999819,11666.2199926,9833.7699846,9402.33998706,7182.83003852
"Dnhd1",763.9102584,789.07229294,740.82878986,820.01498746,826.7909685,817.95206716
"Dnlz",1960.92501832,2074.31988512,2528.4089656,2193.98145872,1817.3476368,1526.3665624
"Dnm1",34183.00897242,36339.1242677,64136.7761277,66271.6094078,45464.5397592,32701.1402311
"Dnm1l",2138.09003262,2427.7805583,3643.08781634,3446.21447048,2334.83396782,4523.55023932
"Dnm2",632.47168404,768.24826752,1833.19889348,776.65772826,629.50431336,1284.4314081
"Dnm3",13726.80515884,15900.34960694,17418.8011933,15674.51628582,15490.8214088,13080.7307813
"Dnm3os",8.04263888,10.20000624,19.41154944,5.720052,6.11994032,2.04003296
"Dnmbp",437.97674382,88.27898954,66.159634,439.48593368,92.09071,135.45188726
"Dnmt1",3263.24139566,3856.9618336,3836.57416416,2387.37975044,2681.68947154,2128.56662242
"Dnmt3a",4156.7217213,6752.77876504,1773.38484272,3694.9968048,1631.66944864,125.90059704
"Dnmt3a-ps1",0,0,0,0,0,0
"Dnmt3aos",0,0,0,0,0,0
"Dnmt3b",49.09334584,47.80997568,52.6000608,69.2999712,38.09329992,54.01665144
"Dnmt3bos",0,0,0,0,0,0
"Dnmt3c",0,8.2499976,0,0,0,10.66333086
"Dnmt3l",7.88000424,0,0,0,0,6.01999732
"Dnmt3l-ps1",1.99998848,1.01999212,2.0400093,0,4.07999354,0
"Dnpep",1708.87002196,1819.5400064,2321.52995822,2281.40997088,1674.05405612,1443.96027874
"Dnph1",140.02000924,131.1999842,163.14001504,181.94001058,103.05998694,105.25998398
"Dntt",0,0,0,11.59998,0,12.9400056
"Dnttip1",905.47838488,1017.96646584,1130.23298272,1322.20352544,1051.64644848,839.77620496
"Dnttip2",1500.20018554,1765.63996812,1680.94066776,1788.06227598,1645.1268908,1497.96018078
"Doc2a",1778.43232702,1280.75799402,1872.394942,1573.24039338,1408.5187742,1740.87723226
"Doc2b",996.74004248,2587.2142737,2657.14979908,1962.94532238,1334.02082912,676.13999362
"Doc2g",30.6757445,22.64213872,13.48166652,39.5115839,60.84322434,29.7105339
"Dock1",2035.70992678,2426.63002392,2673.4599358,2190.39003272,2063.30994622,2097.0599012
"Dock10",777.26805116,1054.33992346,482.41389244,609.30935146,970.66956096,272.29646616
"Dock11",327.16895556,727.05230188,757.44291516,69.37548574,136.20248514,364.08860892
"Dock2",247.81999452,303.1599335,283.01997006,327.4599755,250.17999394,302.74002762
"Dock3",21446.548909,23348.57098264,22933.53573116,24830.83568882,23859.81890648,18497.26034074
"Dock4",3918.58836226,4936.24421294,6420.627495,4885.0979336,6417.54881038,5027.42094346
"Dock5",1091.11584492,1452.74376928,1324.645718,1019.18811008,951.67599032,1039.59009708
"Dock6",988.59817934,289.73565326,1108.25253996,724.26688238,647.41114246,132.37932026
"Dock7",882.73592956,3179.90923592,2761.42802266,1523.50318292,1993.53118906,1193.30791024
"Dock8",319.18002278,349.36525362,336.27995912,341.96007436,333.31997094,247.7600477
"Dock9",2832.20446594,2699.92146328,1956.68444384,5207.29039348,3235.55850806,3893.31619094
"Dohh",499.9558631,277.85567942,865.60948022,932.42516596,638.2229927,346.55265696
"Dok1",63.95998082,53.00002394,80.8599841,84.2199779,72.36001764,91.56001268
"Dok2",28.99999116,29.1800065,41.86001156,72.88000588,33.43999578,24.8800109
"Dok3",2.6967065,68.15494516,82.59943582,0.95485506,47.04667238,7.77929106
"Dok4",795.84629642,954.9993714,1134.02774686,989.12217052,787.044161,533.03307272
"Dok5",1135.96001376,1479.49998768,1644.5799864,1387.94000592,1317.42000208,1123.44999936
"Dok6",7334.1399758,9171.17989966,8942.44002252,7854.81992978,8304.72745786,8156.86007218
"Dok7",538.46741424,421.3090624,564.7845491,702.7225546,313.1849104,386.28020056
"Dolk",769.3600016,930.10000496,1099.13999376,1118.35999168,950.17999184,883.02001728
"Dolpp1",920.39974986,940.62854742,1210.9488779,1176.55062566,1028.57537808,821.81963848
"Donson",734.60673634,869.40596174,622.99183998,586.25053186,730.59449728,475.08068172
"Dop1a",1628.62519152,1599.62278096,4404.21388146,1879.33553836,2273.63819098,2374.71122042
"Dop1b",4109.05811702,2344.07939622,3363.5504837,4908.18996092,4323.435291,1951.93091922
"Dot1l",645.43817682,1674.60972912,1689.0370902,1700.13872562,1409.06848842,647.13442086
