"","gene_id","gene_name"
"4806","ENSMUSG00000019923.15","Zwint"
"4807","ENSMUSG00000112862.2","Gm47094"
"4808","ENSMUSG00000112168.2","Gm34776"
"4809","ENSMUSG00000111994.3","A330049N07Rik"
"4810","ENSMUSG00000052613.17","Pcdh15"
"4811","ENSMUSG00000102584.2","Gm37438"
"4812","ENSMUSG00000085456.3","Gm15398"
"4813","ENSMUSG00000091825.2","Gm5778"
"4814","ENSMUSG00000112838.2","Gm47098"
"4815","ENSMUSG00000112427.2","Gm19168"
"4816","ENSMUSG00000085176.2","Gm15397"
"4817","ENSMUSG00000093548.2","Gm6407"
"4818","ENSMUSG00000112686.2","Gm7034"
"4819","ENSMUSG00000072407.5","Gm6419"
"4820","ENSMUSG00000009070.15","Rsph14"
"4821","ENSMUSG00000040009.7","Gnaz"
"4822","ENSMUSG00000112136.2","Gm40692"
"4823","ENSMUSG00000020175.16","Rab36"
"4824","ENSMUSG00000009681.11","Bcr"
"4825","ENSMUSG00000033444.15","Specc1l"
"4826","ENSMUSG00000112116.2","Gm46234"
"4827","ENSMUSG00000020178.7","Adora2a"
"4828","ENSMUSG00000112471.2","Gm5779"
"4829","ENSMUSG00000033416.16","Gucd1"
"4830","ENSMUSG00000033427.15","Upb1"
"4831","ENSMUSG00002074988.1","Gm56101"
"4832","ENSMUSG00000112764.2","Gm48158"
"4833","ENSMUSG00000111955.2","Gm48148"
"4834","ENSMUSG00000020180.11","Snrpd3"
"4835","ENSMUSG00000046807.11","Lrrc75b"
"4836","ENSMUSG00000006345.11","Ggt1"
"4837","ENSMUSG00000006344.18","Ggt5"
"4838","ENSMUSG00000055872.2","Gm9985"
"4839","ENSMUSG00000089124.4","Gm26402"
"4840","ENSMUSG00000112643.2","Gm19688"
"4841","ENSMUSG00000006342.16","Susd2"
"4842","ENSMUSG00000020196.11","Cabin1"
"4843","ENSMUSG00000112789.2","Gm19326"
"4844","ENSMUSG00000001666.9","Ddt"
"4845","ENSMUSG00000092360.2","Gm20441"
"4846","ENSMUSG00000001665.12","Gstt3"
"4847","ENSMUSG00000001663.11","Gstt1"
"4848","ENSMUSG00000009093.8","Gstt4"
"4849","ENSMUSG00000033318.8","Gstt2"
"4850","ENSMUSG00000033307.8","Mif"
"4851","ENSMUSG00000112306.2","Gm47744"
"4852","ENSMUSG00000120255.1","ENSMUSG00000120255"
"4853","ENSMUSG00000009092.6","Derl3"
"4854","ENSMUSG00000000902.14","Smarcb1"
"4855","ENSMUSG00000000901.18","Mmp11"
"4856","ENSMUSG00000049422.8","Chchd10"
"4857","ENSMUSG00000050157.7","Gm867"
"4858","ENSMUSG00000000903.4","Vpreb3"
"4859","ENSMUSG00000082234.2","Gm16221"
"4860","ENSMUSG00000033255.9","Gm5134"
"4861","ENSMUSG00000082619.2","Gm16219"
"4862","ENSMUSG00000085662.2","Gm16220"
"4863","ENSMUSG00000098817.3","Mir6409"
"4864","ENSMUSG00000049764.9","Zfp280b"
"4865","ENSMUSG00000020226.10","Slc5a4b"
"4866","ENSMUSG00000086798.2","Gm16222"
"4867","ENSMUSG00000112128.2","Gm19217"
"4868","ENSMUSG00000020229.5","Slc5a4a"
"4869","ENSMUSG00000112625.2","Gm2628"
"4870","ENSMUSG00000020230.16","Prmt2"
"4871","ENSMUSG00000076068.3","Mir678"
"4872","ENSMUSG00000033208.8","S100b"
"4873","ENSMUSG00000020231.16","Dip2a"
"4874","ENSMUSG00000089711.2","Gm16240"
"4875","ENSMUSG00000001151.11","Pcnt"
"4876","ENSMUSG00000101695.2","1700094J05Rik"
"4877","ENSMUSG00000117965.2","Gm56118"
"4878","ENSMUSG00000120244.1","ENSMUSG00000120244"
"4879","ENSMUSG00000009114.18","2610028H24Rik"
"4880","ENSMUSG00000033126.6","Ybey"
"4881","ENSMUSG00000001150.8","Mcm3ap"
"4882","ENSMUSG00000033105.13","Lss"
"4883","ENSMUSG00000086241.3","4930483K19Rik"
"4884","ENSMUSG00000009115.6","Spatc1l"
"4885","ENSMUSG00000085468.3","Gm15343"
"4886","ENSMUSG00000001155.14","Ftcd"
"4887","ENSMUSG00000020241.14","Col6a2"
"4888","ENSMUSG00000112721.2","Gm35608"
"4889","ENSMUSG00000001119.8","Col6a1"
"4890","ENSMUSG00000112291.2","Gm48276"
"4891","ENSMUSG00000001120.16","Pcbp3"
"4892","ENSMUSG00000112143.2","Gm35721"
"4893","ENSMUSG00000102522.2","Gm37782"
"4894","ENSMUSG00000112773.2","Gm3137"
"4895","ENSMUSG00000074919.3","Gm10787"
"4896","ENSMUSG00000001436.16","Slc19a1"
"4897","ENSMUSG00000001435.16","Col18a1"
"4898","ENSMUSG00000112612.2","Gm7775"
"4899","ENSMUSG00000078444.4","Gm10941"
"4900","ENSMUSG00000020260.10","Pofut2"
"4901","ENSMUSG00000020262.16","Adarb1"
"4902","ENSMUSG00000112818.2","Gm35920"
"4903","ENSMUSG00000032977.10","Fam207a"
"4904","ENSMUSG00000000290.14","Itgb2"
"4905","ENSMUSG00000009291.14","Pttg1ip"
"4906","ENSMUSG00000020265.17","Sumo3"
"4907","ENSMUSG00000112241.2","Gm49325"
"4908","ENSMUSG00000009293.18","Ube2g2"
"4909","ENSMUSG00000089424.3","Mir1930"
"4910","ENSMUSG00000112007.2","Gm18119"
"4911","ENSMUSG00000112912.2","Gm48160"
"4912","ENSMUSG00000069581.13","Tspear"
"4913","ENSMUSG00000095970.2","Gm19402"
"4914","ENSMUSG00000112170.2","Gm9508"
"4915","ENSMUSG00000069584.5","Gm10272"
"4916","ENSMUSG00000094012.2","Gm10024"
"4917","ENSMUSG00000094146.2","Gm10142"
"4918","ENSMUSG00000112037.2","Gm48179"
"4919","ENSMUSG00000069583.3","Krtap12-1"
"4920","ENSMUSG00000096421.2","Gm10100"
"4921","ENSMUSG00000112236.2","Gm29802"
"4922","ENSMUSG00000112864.2","Gm18596"
"4923","ENSMUSG00000111976.2","Gm48178"
"4924","ENSMUSG00000112380.2","Gm9736"
"4925","ENSMUSG00000094120.2","Gm3233"
"4926","ENSMUSG00000095817.2","Gm3238"
"4927","ENSMUSG00000095593.2","Gm7138"
"4928","ENSMUSG00000096481.2","Gm3250"
"4929","ENSMUSG00000095721.2","Gm7137"
"4930","ENSMUSG00000096131.4","Gm9639"
"4931","ENSMUSG00000096380.2","Gm19668"
"4932","ENSMUSG00000094913.4","Gm9507"
"4933","ENSMUSG00000112600.2","Gm49918"
"4934","ENSMUSG00000069582.4","Krtap10-4"
"4935","ENSMUSG00000112223.2","Krtap10-10"
"4936","ENSMUSG00000112653.2","Gm36176"
"4937","ENSMUSG00000071195.5","Gm10318"
"4938","ENSMUSG00000111915.2","Gm3285"
"4939","ENSMUSG00000096573.3","1700009J07Rik"
"4940","ENSMUSG00000051652.5","Lrrc3"
"4941","ENSMUSG00000009292.19","Trpm2"
"4942","ENSMUSG00000093784.3","Gm22394"
"4943","ENSMUSG00000093443.3","Gm22871"
"4944","ENSMUSG00000020284.17","Cfap410"
"4945","ENSMUSG00000020277.11","Pfkl"
"4946","ENSMUSG00000000731.16","Aire"
"4947","ENSMUSG00000000730.14","Dnmt3l"
"4948","ENSMUSG00000000732.10","Icosl"
"4949","ENSMUSG00000112662.2","Gm47922"
"4950","ENSMUSG00000053329.8","Gatd3a"
"4951","ENSMUSG00000032834.12","Pwp2"
"4952","ENSMUSG00000000374.9","Trappc10"
"4953","ENSMUSG00000112433.2","Gm30122"
"4954","ENSMUSG00000112300.2","Gm47976"
"4955","ENSMUSG00000001211.16","Agpat3"
"4956","ENSMUSG00000118646.2","ENSMUSG00000118646"
"4957","ENSMUSG00000112442.2","Gm47992"
"4958","ENSMUSG00002075838.1","Gm56162"
"4959","ENSMUSG00000098885.3","Mir7659"
"4960","ENSMUSG00000112641.2","Gm40709"
"4961","ENSMUSG00002075298.1","Gm56163"
"4962","ENSMUSG00000064317.6","Gm10146"
"4963","ENSMUSG00000061032.10","Rrp1"
"4964","ENSMUSG00000098376.3","Mir6907"
"4965","ENSMUSG00000005054.8","Cstb"
"4966","ENSMUSG00000112652.2","4921516A02Rik"
"4967","ENSMUSG00000098932.3","Mir6410"
"4968","ENSMUSG00000032788.16","Pdxk"
"4969","ENSMUSG00000098279.3","Mir6908"
"4970","ENSMUSG00000112623.2","4933436P19Rik"
"4971","ENSMUSG00000112842.4","Gm30232"
"4972","ENSMUSG00000055704.5","Gm9978"
"4973","ENSMUSG00000121448.1","ENSMUSG00000121448"
"4974","ENSMUSG00000112224.2","Gm47944"
"4975","ENSMUSG00000107822.5","Or10b1"
"4976","ENSMUSG00002075755.1","Gm56166"
"4977","ENSMUSG00002076762.1","Gm56167"
"4978","ENSMUSG00000112313.2","Gm5951"
"4979","ENSMUSG00000111881.2","Vmn2r-ps92"
"4980","ENSMUSG00000032763.12","Ilvbl"
"4981","ENSMUSG00000032714.7","Syde1"
"4982","ENSMUSG00000112021.2","Gm30346"
"4983","ENSMUSG00000104370.2","Gm37514"
"4984","ENSMUSG00000071185.6","Or1i2"
"4985","ENSMUSG00000112017.2","Gm7842"
"4986","ENSMUSG00000112674.2","Gm47459"
"4987","ENSMUSG00000112689.2","Gm47476"
"4988","ENSMUSG00000111946.2","Gm47495"
"4989","ENSMUSG00000005355.10","Casp14"
"4990","ENSMUSG00000078442.4","Ccdc105"
"4991","ENSMUSG00000109776.2","Gm30400"
"4992","ENSMUSG00000005357.10","Slc1a6"
"4993","ENSMUSG00000051190.9","Or7c70"
"4994","ENSMUSG00000062873.8","Or7a39"
"4995","ENSMUSG00000094673.5","Or7a38"
"4996","ENSMUSG00000094080.4","Or7a42"
"4997","ENSMUSG00000042774.9","Or7a37"
"4998","ENSMUSG00000112732.2","Gm47343"
"4999","ENSMUSG00000046493.6","Or7a36"
"5000","ENSMUSG00000063216.4","Or7a35"
"5001","ENSMUSG00000060205.4","Or7a41"
"5002","ENSMUSG00000060301.7","2610008E11Rik"
"5003","ENSMUSG00000091888.4","Vmn2r80"
"5004","ENSMUSG00000055515.9","Vmn2r81"
"5005","ENSMUSG00000091468.4","Vmn2r82"
"5006","ENSMUSG00000112907.2","Gm47015"
"5007","ENSMUSG00000091381.4","Vmn2r83"
"5008","ENSMUSG00000120605.1","ENSMUSG00000120605"
"5009","ENSMUSG00000052151.13","Plpp2"
"5010","ENSMUSG00000098414.3","Mir6909"
"5011","ENSMUSG00000042570.15","Mier2"
"5012","ENSMUSG00000020317.15","Theg"
"5013","ENSMUSG00000045912.10","C2cd4c"
"5014","ENSMUSG00000020312.13","Shc2"
"5015","ENSMUSG00000111977.2","Gm47163"
"5016","ENSMUSG00000035963.9","Odf3l2"
"5017","ENSMUSG00000020310.10","Madcam1"
"5018","ENSMUSG00000020308.8","Tpgs1"
"5019","ENSMUSG00000120698.1","ENSMUSG00000120698"
"5020","ENSMUSG00000020307.16","Cdc34"
"5021","ENSMUSG00000054206.3","Gzmm"
"5022","ENSMUSG00000065220.3","Gm25794"
"5023","ENSMUSG00000023175.16","Bsg"
"5024","ENSMUSG00000020331.10","Hcn2"
"5025","ENSMUSG00000020329.13","Polrmt"
"5026","ENSMUSG00000020327.5","Fgf22"
"5027","ENSMUSG00000035890.10","Rnf126"
"5028","ENSMUSG00000020325.11","Fstl3"
"5029","ENSMUSG00000020323.15","Prss57"
"5030","ENSMUSG00000035863.15","Palm"
"5031","ENSMUSG00000112828.2","Gm48495"
"5032","ENSMUSG00000035852.12","Misp"
